Date,transect,dist.m,elev.m,slope.unitless,depth.m,velocity.m.s,Discharge.m3.s,K600.eq1
8/12/2019,18 to 19,124.229,5.059,0.138280041,0.04,0.65208,0.002785865,104.0610214
7/18/2019,17 to 18,128.96,2.04,0.138280041,0.23,0.09152,0.008177116,46.61548286
7/25/2019,17 to 18,128.96,2.04,0.138280041,0.36,0.429,0.02359705,234.8217098
7/31/2019,17 to 18,128.96,2.04,0.138280041,0.27,0.25168,0.007798353,125.0661226
8/6/2019,17 to 18,128.96,2.04,0.138280041,0.07,1.21264,0.004156541,244.5244152
8/12/2019,17 to 18,128.96,2.04,0.138280041,0.05,0.75504,0.002785865,133.7472842
7/18/2019,16 to 17,131.849,1.871,0.188379804,0.2,0.04004,0.008177116,27.2727187
7/25/2019,16 to 17,131.849,1.871,0.188379804,0.27,0.10296,0.02359705,74.32996733
7/31/2019,16 to 17,131.849,1.871,0.188379804,0.2,1.0868,0.007798353,514.8513813
8/6/2019,16 to 17,131.849,1.871,0.188379804,0.2,0.06292,0.004156541,40.77844559
8/12/2019,16 to 17,131.849,1.871,0.188379804,0.08,0.13156,0.002785865,47.93374341
7/18/2019,15 to 16,140.638,3.686,0.000421359,0.28,0.08008,0.008177116,0.265285938
7/25/2019,15 to 16,140.638,3.686,0.000421359,0.1,0.1144,0.02359705,0.208983326
7/31/2019,15 to 16,140.638,3.686,0.000421359,0.3,0.4862,0.007798353,1.370955197
8/6/2019,15 to 16,140.638,3.686,0.000421359,0.26,0.04576,0.004156541,0.154892588
8/12/2019,15 to 16,140.638,3.686,0.000421359,0.08,0.26884,0.002785865,0.396305982
7/18/2019,14 to 15,143.68,-3.712,0.074785413,0.33,0.0858,0.008177116,30.95068052
7/25/2019,14 to 15,143.68,-3.712,0.074785413,0.19,0.27456,0.02359705,64.68194936
7/31/2019,14 to 15,143.68,-3.712,0.074785413,0.34,0.08008,0.007798353,29.58039855
8/6/2019,14 to 15,143.68,-3.712,0.074785413,0.16,0.10296,0.004156541,24.62457674
8/12/2019,14 to 15,143.68,-3.712,0.074785413,0.06,0.05148,0.002785865,7.824002181
7/18/2019,13 to 14,154.794,-1.053,0.106707963,0.09,0.429,0.008177116,88.19522536
7/25/2019,13 to 14,154.794,-1.053,0.106707963,0.08,0.81796,0.02359705,146.983052
7/31/2019,13 to 14,154.794,-1.053,0.106707963,0.12,2.0306,0.007798353,410.9705502
8/6/2019,13 to 14,154.794,-1.053,0.106707963,0.1,0.16016,0.004156541,38.84366882
8/12/2019,13 to 14,154.794,-1.053,0.106707963,0.05,0.1144,0.002785865,19.80204729
7/18/2019,12 to 13,161.95,2.483,0.142158658,0.21,0.12584,0.008177116,60.39170236
7/25/2019,12 to 13,161.95,2.483,0.142158658,0.09,0.98956,0.02359705,239.5381294
7/31/2019,12 to 13,161.95,2.483,0.142158658,0.2,0.73788,0.007798353,283.9250472
8/6/2019,12 to 13,161.95,2.483,0.142158658,0.21,0.53196,0.004156541,217.8566947
8/12/2019,12 to 13,161.95,2.483,0.142158658,0.04,0.55484,0.002785865,92.37658554
7/18/2019,11 to 12,169.946,1.232,0.090577887,0.08,0.33176,0.008177116,56.9014939
7/25/2019,11 to 12,169.946,1.232,0.090577887,0.09,0.44616,0.02359705,78.93312787
7/31/2019,11 to 12,169.946,1.232,0.090577887,0.27,0.572,0.007798353,178.2134977
8/6/2019,11 to 12,169.946,1.232,0.090577887,0.07,0.30316,0.004156541,48.86103103
8/12/2019,11 to 12,169.946,1.232,0.090577887,0.05,0.41184,0.002785865,53.51479739
7/18/2019,10 to 11,178.733,1.821,0.127020622,0.1,0.89804,0.008177116,210.4036049
7/25/2019,10 to 11,178.733,1.821,0.127020622,0.09,1.3728,0.02359705,289.9889476
7/31/2019,10 to 11,178.733,1.821,0.127020622,0.06,0.78936,0.007798353,142.3628087
8/6/2019,10 to 11,178.733,1.821,0.127020622,0.09,0.98384,0.004156541,215.5826264
8/12/2019,10 to 11,178.733,1.821,0.127020622,0.02,0.62348,0.002785865,63.76293018
7/18/2019,9 to 10,184.081,-0.796,0.034631852,0.04,0.76076,0.008177116,34.8119347
7/25/2019,9 to 10,184.081,-0.796,0.034631852,0.04,0.90376,0.02359705,40.57934261
7/31/2019,9 to 10,184.081,-0.796,0.034631852,0.04,0.92092,0.007798353,41.264371
8/6/2019,9 to 10,184.081,-0.796,0.034631852,0.08,0.67496,0.004156541,45.50209407
8/12/2019,9 to 10,184.081,-0.796,0.034631852,0.04,0.6864,0.002785865,31.76665664
7/18/2019,8 to 9,194.911,1.87,0.090654528,0.25,0.2288,0.008177116,75.69236403
7/25/2019,8 to 9,194.911,1.87,0.090654528,0.2,0.65208,0.02359705,170.4247195
7/31/2019,8 to 9,194.911,1.87,0.090654528,0.14,1.69884,0.007798353,329.6047423
8/6/2019,8 to 9,194.911,1.87,0.090654528,0.09,1.50436,0.004156541,233.0143372
8/12/2019,8 to 9,194.911,1.87,0.090654528,0.03,1.52724,0.002785865,130.4882998
7/18/2019,7 to 8,204.096,2.549,0.06512113,0.05,0.55484,0.008177116,52.01607498
7/25/2019,7 to 8,204.096,2.549,0.06512113,0.11,1.4872,0.02359705,191.4896309
7/31/2019,7 to 8,204.096,2.549,0.06512113,0.1,1.29272,0.007798353,160.5548552
8/6/2019,7 to 8,204.096,2.549,0.06512113,0.1,0.9152,0.004156541,118.0684106
8/12/2019,7 to 8,204.096,2.549,0.06512113,0.06,1.10396,0.002785865,105.8801658
7/18/2019,6 to 7,208.19,0.156,0.027036277,0.07,1.0868,0.008177116,51.89563049
7/25/2019,6 to 7,208.19,0.156,0.027036277,0.13,1.40712,0.02359705,91.23233741
7/31/2019,6 to 7,208.19,0.156,0.027036277,0.08,1.20692,0.007798353,61.23040393
8/6/2019,6 to 7,208.19,0.156,0.027036277,0.06,0.95524,0.004156541,42.57027746
8/12/2019,6 to 7,208.19,0.156,0.027036277,0.05,0.72644,0.002785865,30.23543772
7/18/2019,5 to 6,217.61,0.489,0.086309148,0.08,0.47476,0.008177116,74.98822778
7/25/2019,5 to 6,217.61,0.489,0.086309148,0.07,1.30416,0.02359705,171.4983516
7/31/2019,5 to 6,217.61,0.489,0.086309148,0.12,0.5148,0.007798353,100.3179621
8/6/2019,5 to 6,217.61,0.489,0.086309148,0.06,0.87516,0.004156541,110.6425161
8/12/2019,5 to 6,217.61,0.489,0.086309148,0.05,0.60632,0.002785865,72.32875959
7/18/2019,4 to 5,225.54,2.08,0.063994444,0.2,0.41184,0.008177116,83.04302416
7/25/2019,4 to 5,225.54,2.08,0.063994444,0.1,0.78936,0.02359705,101.9092074
7/31/2019,4 to 5,225.54,2.08,0.063994444,0.12,0.81224,0.007798353,115.3494522
8/6/2019,4 to 5,225.54,2.08,0.063994444,0.12,0.43472,0.004156541,66.13068281
8/12/2019,4 to 5,225.54,2.08,0.063994444,0.11,0.18876,0.002785865,30.02966542
7/18/2019,3 to 4,228.194,-3.13,0.097948653,0.05,1.0868,0.008177116,136.0747547
7/25/2019,3 to 4,228.194,-3.13,0.097948653,0.06,1.33276,0.02359705,180.0493251
7/31/2019,3 to 4,228.194,-3.13,0.097948653,0.14,1.27556,0.007798353,273.6172794
8/6/2019,3 to 4,228.194,-3.13,0.097948653,0.04,0.8866,0.004156541,100.6353728
8/12/2019,3 to 4,228.194,-3.13,0.097948653,0.05,1.1726,0.002785865,145.5954462
7/18/2019,2 to 3,240.105,2.964,0.068639617,0.07,0.7436,0.008177116,84.83372939
7/25/2019,2 to 3,240.105,2.964,0.068639617,0.12,1.52724,0.02359705,215.3569688
7/31/2019,2 to 3,240.105,2.964,0.068639617,0.1,1.01244,0.007798353,135.3637077
8/6/2019,2 to 3,240.105,2.964,0.068639617,0.08,1.14972,0.004156541,134.3751984
8/12/2019,2 to 3,240.105,2.964,0.068639617,0.06,1.2012,0.002785865,119.6142391
7/18/2019,1 to 2,245.20545,-0.513428,0.068639617,0.08,0.9438,0.008177116,112.7289178
7/25/2019,1 to 2,245.20545,-0.513428,0.068639617,0.15,1.29844,0.02359705,210.2608071
7/31/2019,1 to 2,245.20545,-0.513428,0.068639617,0.04,1.09824,0.007798353,88.72714825
8/6/2019,1 to 2,245.20545,-0.513428,0.068639617,0.06,0.86944,0.004156541,89.71157944
8/12/2019,1 to 2,245.20545,-0.513428,0.068639617,0.05,0.97812,0.002785865,90.28516061
