Date,transect,dist.m,elev.m,slope.unitless,depth.m,velocity.m.s,Discharge.m3.s,K600.eq1
7/18/2019,34 to 35,4.002,-0.591,0.053067203,0.08,0.29172,0.008177116,31.53230963
7/25/2019,34 to 35,4.002,-0.591,0.053067203,0.25,0.13156,0.02359705,28.7193834
7/31/2019,34 to 35,4.002,-0.591,0.053067203,0.13,0.40612,0.007798353,55.01727465
8/6/2019,34 to 35,4.002,-0.591,0.053067203,0.13,0.10868,0.004156541,17.02040335
8/12/2019,34 to 35,4.002,-0.591,0.053067203,0.08,0.21164,0.002785865,23.6983364
7/18/2019,33 to 34,12.337,-0.0918,0.014511245,0.12,0.24024,0.008177116,10.4140898
7/25/2019,33 to 34,12.337,-0.0918,0.014511245,0.23,0.14872,0.02359705,9.65674777
7/31/2019,33 to 34,12.337,-0.0918,0.014511245,0.24,0.12012,0.007798353,8.17072925
8/6/2019,33 to 34,12.337,-0.0918,0.014511245,0.14,0,0.004156541,0
8/12/2019,33 to 34,12.337,-0.0918,0.014511245,0.06,0.07436,0.002785865,2.522219248
7/18/2019,32 to 33,16.957,-0.699,0.00675895,0.12,0.10296,0.008177116,2.481974624
7/25/2019,32 to 33,16.957,-0.699,0.00675895,0.2,0.22308,0.02359705,6.508046277
7/31/2019,32 to 33,16.957,-0.699,0.00675895,0.2,0.07436,0.007798353,2.44800734
8/6/2019,32 to 33,16.957,-0.699,0.00675895,0.16,0.09152,0.004156541,2.610589036
8/12/2019,32 to 33,16.957,-0.699,0.00675895,0.1,0.09724,0.002785865,2.137698608
7/18/2019,31 to 32,25.495,-0.804,0.077783466,0.2,0,0.008177116,0
7/25/2019,31 to 32,25.495,-0.804,0.077783466,0.26,0.29744,0.02359705,85.20649276
7/31/2019,31 to 32,25.495,-0.804,0.077783466,0.2,0.09724,0.007798353,27.34008392
8/6/2019,31 to 32,25.495,-0.804,0.077783466,0.16,0.0572,0.004156541,15.11363384
8/12/2019,31 to 32,25.495,-0.804,0.077783466,0.12,0.06292,0.002785865,14.08450111
7/18/2019,30 to 31,34.256,-0.234,0.014833501,0.18,0.05148,0.008177116,3.355708784
7/25/2019,30 to 31,34.256,-0.234,0.014833501,0.16,0.48048,0.02359705,22.98765305
7/31/2019,30 to 31,34.256,-0.234,0.014833501,0.18,0.10296,0.007798353,6.218719396
8/6/2019,30 to 31,34.256,-0.234,0.014833501,0.2,0.04576,0.004156541,3.198656208
8/12/2019,30 to 31,34.256,-0.234,0.014833501,0.05,0.143,0.002785865,4.171302528
7/18/2019,29 to 30,37.442,0.333,0.008501514,0.2,0.08008,0.008177116,3.20712768
7/25/2019,29 to 30,37.442,0.333,0.008501514,0.24,0.2288,0.02359705,9.008522414
7/31/2019,29 to 30,37.442,0.333,0.008501514,0.2,0.20592,0.007798353,7.433126502
8/6/2019,29 to 30,37.442,0.333,0.008501514,0.2,0.16588,0.004156541,6.131920512
8/12/2019,29 to 30,37.442,0.333,0.008501514,0.09,0.3146,0.002785865,7.042386388
7/18/2019,28 to 29,47.593,2.058,0.046525835,0.32,0,0.008177116,0
7/25/2019,28 to 29,47.593,2.058,0.046525835,0.28,0.12012,0.02359705,25.04625181
7/31/2019,28 to 29,47.593,2.058,0.046525835,0.27,0.04576,0.007798353,10.40372237
8/6/2019,28 to 29,47.593,2.058,0.046525835,0.26,0.04004,0.004156541,9.051594644
8/12/2019,28 to 29,47.593,2.058,0.046525835,0.07,0.2002,0.002785865,18.66705187
7/18/2019,27 to 28,51.477,-0.944,0.006489303,0.1,0.33748,0.008177116,6.239775634
7/25/2019,27 to 28,51.477,-0.944,0.006489303,0.11,0.54912,0.02359705,10.1317422
7/31/2019,27 to 28,51.477,-0.944,0.006489303,0.06,0.56056,0.007798353,7.43881171
8/6/2019,27 to 28,51.477,-0.944,0.006489303,0.1,0.37752,0.004156541,6.894531912
8/12/2019,27 to 28,51.477,-0.944,0.006489303,0.04,0.41756,0.002785865,4.598121304
7/18/2019,26 to 27,56.243,0.403,0.036441336,0.28,0.10868,0.008177116,18.43441571
7/25/2019,26 to 27,56.243,0.403,0.036441336,0.22,0.46332,0.02359705,58.82111458
7/31/2019,26 to 27,56.243,0.403,0.036441336,0.18,0.19448,0.007798353,24.37455659
8/6/2019,26 to 27,56.243,0.403,0.036441336,0.1,0.16588,0.004156541,15.40307937
8/12/2019,26 to 27,56.243,0.403,0.036441336,0.08,0.44616,0.002785865,32.93867495
7/18/2019,25 to 26,63.659,2.054,0.060716812,0.05,0.4576,0.008177116,41.17117693
7/25/2019,25 to 26,63.659,2.054,0.060716812,0.08,0.6006,0.02359705,67.59685031
7/31/2019,25 to 26,63.659,2.054,0.060716812,0.06,0.61776,0.007798353,59.34009112
8/6/2019,25 to 26,63.659,2.054,0.060716812,0.05,0.50908,0.004156541,45.26893731
8/12/2019,25 to 26,63.659,2.054,0.060716812,0.04,0.74932,0.002785865,56.60870758
7/18/2019,24 to 25,67.023,0.457,0.148024304,0.08,0.63492,0.008177116,156.9845293
7/25/2019,24 to 25,67.023,0.457,0.148024304,0.05,0.858,0.02359705,159.2266779
7/31/2019,24 to 25,67.023,0.457,0.148024304,0.05,0.4862,0.007798353,96.04559634
8/6/2019,24 to 25,67.023,0.457,0.148024304,0.06,0.13156,0.004156541,33.11236956
8/12/2019,24 to 25,67.023,0.457,0.148024304,0.04,0.54912,0.002785865,94.88216896
7/18/2019,23 to 24,75.925,-0.65,0.19983921,0.14,0.43472,0.008177116,198.0128979
7/25/2019,23 to 24,75.925,-0.65,0.19983921,0.13,0.5434,0.02359705,232.0404303
7/31/2019,23 to 24,75.925,-0.65,0.19983921,0.14,0.0572,0.007798353,32.56637223
8/6/2019,23 to 24,75.925,-0.65,0.19983921,0.14,0.12012,0.004156541,63.02960055
8/12/2019,23 to 24,75.925,-0.65,0.19983921,0.04,0.63492,0.002785865,141.0295401
7/18/2019,22 to 23,81.871,1.418,0.120621005,0.04,0.4004,0.008177116,59.69947148
7/25/2019,22 to 23,81.871,1.418,0.120621005,0.03,1.12684,0.02359705,128.3634125
7/31/2019,22 to 23,81.871,1.418,0.120621005,0.04,0.72644,0.007798353,101.4421727
8/6/2019,22 to 23,81.871,1.418,0.120621005,0.04,0.3718,0.004156541,55.88897158
8/12/2019,22 to 23,81.871,1.418,0.120621005,0.03,0.46904,0.002785865,58.83837117
7/18/2019,21 to 22,87.664,1.807,0.154875155,0.07,0.58344,0.008177116,141.0409654
7/25/2019,21 to 22,87.664,1.807,0.154875155,0.07,1.04676,0.02359705,237.2862588
7/31/2019,21 to 22,87.664,1.807,0.154875155,0.07,0.92664,0.007798353,212.8920687
8/6/2019,21 to 22,87.664,1.807,0.154875155,0.04,0.6864,0.004156541,120.4819206
8/12/2019,21 to 22,87.664,1.807,0.154875155,0.06,0.9438,0.002785865,199.1134343
7/18/2019,20 to 21,94.14,1.52,0.180778016,0.06,0.7722,0.008177116,191.1229076
7/25/2019,20 to 21,94.14,1.52,0.180778016,0.09,1.36136,0.02359705,394.056469
7/31/2019,20 to 21,94.14,1.52,0.180778016,0.05,0.70928,0.007798353,160.5843125
8/6/2019,20 to 21,94.14,1.52,0.180778016,0.05,0.78936,0.004156541,176.6241984
8/12/2019,20 to 21,94.14,1.52,0.180778016,0.05,0.80652,0.002785865,180.0374392
7/18/2019,19 to 20,102.753,0.464,0.180778016,0.07,0.55484,0.008177116,154.7725007
7/25/2019,19 to 20,102.753,0.464,0.180778016,0.06,1.18976,0.02359705,280.7967377
7/31/2019,19 to 20,102.753,0.464,0.180778016,0.06,0.62348,0.007798353,157.9884262
8/6/2019,19 to 20,102.753,0.464,0.180778016,0.04,0.5434,0.004156541,112.305343
8/12/2019,19 to 20,102.753,0.464,0.180778016,0.05,0.72644,0.002785865,164.037495
7/18/2019,18 to 19,124.229,5.059,0.138280041,0.03,0.29172,0.008177116,43.54249448
7/25/2019,18 to 19,124.229,5.059,0.138280041,0.07,0.98956,0.02359705,204.0536392
7/31/2019,18 to 19,124.229,5.059,0.138280041,0.1,0.38896,0.007798353,107.7614195
8/6/2019,18 to 19,124.229,5.059,0.138280041,0.02,0.65208,0.004156541,71.57014326
